[0.000000] (-) TimerEvent: {}
[0.000230] (-) JobUnselected: {'identifier': 'action_msgs'}
[0.000261] (-) JobUnselected: {'identifier': 'actionlib_msgs'}
[0.000275] (-) JobUnselected: {'identifier': 'builtin_interfaces'}
[0.000286] (-) JobUnselected: {'identifier': 'common_interfaces'}
[0.000295] (-) JobUnselected: {'identifier': 'composition_interfaces'}
[0.000304] (-) JobUnselected: {'identifier': 'diagnostic_msgs'}
[0.000313] (-) JobUnselected: {'identifier': 'geometry_msgs'}
[0.000321] (-) JobUnselected: {'identifier': 'lifecycle_msgs'}
[0.000329] (-) JobUnselected: {'identifier': 'nav_msgs'}
[0.000337] (-) JobUnselected: {'identifier': 'rcl_interfaces'}
[0.000346] (-) JobUnselected: {'identifier': 'rosgraph_msgs'}
[0.000355] (-) JobUnselected: {'identifier': 'rosidl_core_generators'}
[0.000363] (-) JobUnselected: {'identifier': 'rosidl_core_runtime'}
[0.000371] (-) JobUnselected: {'identifier': 'rosidl_default_generators'}
[0.000380] (-) JobUnselected: {'identifier': 'rosidl_default_runtime'}
[0.000388] (-) JobUnselected: {'identifier': 'rosidl_generator_rs'}
[0.000396] (-) JobUnselected: {'identifier': 'sensor_msgs'}
[0.000404] (-) JobUnselected: {'identifier': 'sensor_msgs_py'}
[0.000411] (-) JobUnselected: {'identifier': 'service_msgs'}
[0.000423] (-) JobUnselected: {'identifier': 'shape_msgs'}
[0.000431] (-) JobUnselected: {'identifier': 'statistics_msgs'}
[0.000439] (-) JobUnselected: {'identifier': 'std_msgs'}
[0.000446] (-) JobUnselected: {'identifier': 'std_srvs'}
[0.000454] (-) JobUnselected: {'identifier': 'stereo_msgs'}
[0.000463] (-) JobUnselected: {'identifier': 'test_msgs'}
[0.000471] (-) JobUnselected: {'identifier': 'trajectory_msgs'}
[0.000479] (-) JobUnselected: {'identifier': 'type_description_interfaces'}
[0.000487] (-) JobUnselected: {'identifier': 'unique_identifier_msgs'}
[0.000495] (-) JobUnselected: {'identifier': 'visualization_msgs'}
[0.000615] (-) EventReactorShutdown: {}
